ScientificNameBT,CommonNameBT
Talegalla jobiensis,Brown-collared Brush-turkey
Podiceps nigricollis,Black-necked Grebe
Eudyptula minor,Little Penguin
Limicola falcinellus,Broad-billed Sandpiper
Podiceps gallardoi,Hooded Grebe
Melampitta lugubris,Lesser Melampitta
Melampitta gigantea,Greater Melampitta
Limnodromus griseus,Short-billed Dowitcher
Ixobrychus sturmii,Dwarf Bittern
Oceanodroma monteiroi,Monteiro's Storm-petrel
Eupodotis ruficrista,Red-crested Bustard
Centropus milo,Buff-headed Coucal
Ciconia abdimii,Abdim's Stork
Mycteria americana,Wood Stork
Nesoctites micromegas,Antillean Piculet
Acanthorhynchus tenuirostris,Eastern Spinebill
Acanthorhynchus superciliosus,Western Spinebill
Oceanodroma matsudairae,Matsudaira's Storm-petrel
Apteryx australis,Southern Brown Kiwi
Apteryx mantelli,Northern Brown Kiwi
Chersomanes albofasciata,Spike-heeled Lark
Coua reynaudii,Red-fronted Coua
Nyctiphrynus rosenbergi,Choco Poorwill
Limnodromus scolopaceus,Long-billed Dowitcher
Oceanodroma hornbyi,Ringed Storm-petrel
Himantornis haematopus,Nkulengu Rail
Geranospiza caerulescens,Crane Hawk
Colluricincla megarhyncha,Little Shrike-thrush
Colorhamphus parvirostris,Patagonian Tyrant
Cladorhynchus leucocephalus,Banded Stilt
Brachygalba albogularis,White-throated Jacamar
Brachygalba salmoni,Dusky-backed Jacamar
Eudocimus albus,White Ibis
Eudocimus ruber,Scarlet Ibis
Pteruthius xanthochlorus,Green Shrike-babbler
Neomorphus pucheranii,Red-billed Ground-cuckoo
Machaerirhynchus flaviventer,Yellow-breasted Boatbill
Machaerirhynchus nigripectus,Black-breasted Boatbill
Oedistoma pygmaeum,Pygmy Longbill
Xenopsaris albinucha,White-naped Xenopsaris
Brachygalba lugubris,Brown Jacamar
Aceros nipalensis,Rufous-necked Hornbill
Brachygalba goeringi,Pale-headed Jacamar
Ampelioides tschudii,Scaled Fruiteater
Chloroceryle amazona,Amazon Kingfisher
Oceanodroma monorhis,Swinhoe's Storm-petrel
Stipiturus ruficeps,Rufous-crowned Emuwren
Bernieria tenebrosa,Dusky Tetraka
Neomorphus rufipennis,Rufous-winged Ground-cuckoo
Culicicapa ceylonensis,Grey-headed Canary-flycatcher
Culicicapa helianthea,Citrine Canary-flycatcher
Campochaera sloetii,Golden Cuckooshrike
Jacana spinosa,Northern Jacana
Jacana jacana,Wattled Jacana
Toxorhamphus iliolophus,Plumed Longbill
Burhinus capensis,Spotted Thick-knee
Centropus melanops,Black-faced Coucal
Chordeiles minor,Common Nighthawk
Erpornis zantholeuca,White-bellied Yuhina
Neomorphus geoffroyi,Rufous-vented Ground-cuckoo
Melocichla mentalis,Moustached Grass-warbler
Pseudibis papillosa,Red-naped Ibis
Pseudibis davisoni,White-shouldered Ibis
Agamia agami,Agami Heron
Collocalia troglodytes,Pygmy Swiftlet
Hamirostra melanosternon,Black-breasted Buzzard
Arachnothera robusta,Long-billed Spiderhunter
Elanus caeruleus,Black-winged Kite
Neomorphus radiolosus,Banded Ground-cuckoo
Timeliopsis fulvigula,Olive Straightbill
Timeliopsis griseigula,Tawny Straightbill
Tauraco livingstonii,Livingstone's Turaco
Tauraco fischeri,Fischer's Turaco
Elanus scriptus,Letter-winged Kite
Buccanodon duchaillui,Yellow-spotted Barbet
Elanus axillaris,Black-shouldered Kite
Meropogon forsteni,Purple-bearded Bee-eater
Rhinocrypta lanceolata,Crested Gallito
Elanus leucurus,White-tailed Kite
Teledromas fuscus,Sandy Gallito
Dryotriorchis spectabilis,Congo Serpent-eagle
Burhinus senegalensis,Senegal Thick-knee
Pilherodius pileatus,Capped Heron
Acropternis orthonyx,Ocellated Tapaculo
Elminia nigromitrata,Dusky Crested-flycatcher
Acryllium vulturinum,Vulturine Guineafowl
Arachnothera longirostra,Little Spiderhunter
Botaurus stellaris,Great Bittern
Liosceles thoracicus,Rusty-belted Tapaculo
Psilorhamphus guttatus,Spotted Bamboowren
Philentoma pyrhoptera,Rufous-winged Philentoma
Philentoma velata,Maroon-breasted Philentoma
Burhinus oedicnemus,Eurasian Thick-knee
Bombycilla japonica,Japanese Waxwing
Bombycilla garrulus,Bohemian Waxwing
Calidris ferruginea,Curlew Sandpiper
Sula sula,Red-footed Booby
Phapitreron leucotis,White-eared Brown-dove
Amytornis merrotsyi,Short-tailed Grasswren
Busarellus nigricollis,Black-collared Hawk
Pitta phayrei,Eared Pitta
Coccycua pumila,Dwarf Cuckoo
Coccycua cinerea,Ash-coloured Cuckoo
Anomalospiza imberbis,Cuckoo Finch
Paramythia montium,Crested Berrypecker
Eurystomus gularis,Blue-throated Roller
Apalharpactes reinwardtii,Javan Trogon
Apalharpactes mackloti,Sumatran Trogon
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha
Melanopareia maranonica,Maranon Crescentchest
Tichodroma muraria,Wallcreeper
Salpornis spilonotus,Spotted Treecreeper
Pluvialis dominica,American Golden Plover
Philortyx fasciatus,Banded Quail
Cuculus clamosus,Black Cuckoo
Myornis senilis,Ash-coloured Tapaculo
Sipodotus wallacii,Wallace's Fairywren
Clytomyias insignis,Orange-crowned Fairywren
Phoenicoparrus andinus,Andean Flamingo
Phoenicoparrus jamesi,Puna Flamingo
Pharomachrus mocinno,Resplendent Quetzal
Amytornis textilis,Thick-billed Grasswren
Macrosphenus pulitzeri,Pulitzer's Longbill
Macrosphenus kempi,Kemp's Longbill
Taeniotriccus andrei,Black-chested Tyrant
Harpactes orrhophaeus,Cinnamon-rumped Trogon
Harpactes duvaucelii,Scarlet-rumped Trogon
Macrosphenus concolor,Grey Longbill
Chrysococcyx osculans,Black-eared Cuckoo
Phalaropus lobatus,Red-necked Phalarope
Phalaropus fulicarius,Red Phalarope
Melichneutes robustus,Lyre-tailed Honeyguide
Trogon rufus,Black-throated Trogon
Limosa fedoa,Marbled Godwit
Limosa haemastica,Hudsonian Godwit
Acanthornis magna,Scrubtit
Myzornis pyrrhoura,Fire-tailed Myzornis
Colonia colonus,Long-tailed Tyrant
Florisuga mellivora,White-necked Jacobin
Florisuga fusca,Black Jacobin
Pionopsitta pileata,Pileated Parrot
Eupodotis melanogaster,Black-bellied Bustard
Eupodotis hartlaubii,Hartlaub's Bustard
Schistes geoffroyi,Wedge-billed Hummingbird
Calcarius lapponicus,Lapland Longspur
Alectura lathami,Australian Brush-turkey
Pycnoptilus floccosus,Pilotbird
Smithornis rufolateralis,Rufous-sided Broadbill
Toxorhamphus novaeguineae,Green-crowned Longbill
Dicrurus aeneus,Bronzed Drongo
Smithornis capensis,African Broadbill
Heliomaster squamosus,Stripe-breasted Starthroat
Anous tenuirostris,Lesser Noddy
Podiceps major,Great Grebe
Podiceps cristatus,Great Crested Grebe
Calyptomena hosii,Hose's Broadbill
Streptoprocne rutila,Chestnut-collared Swift
Centropus rectunguis,Short-toed Coucal
Apaloderma vittatum,Bar-tailed Trogon
Piprites griseiceps,Grey-headed Piprites
Hemiphaga novaeseelandiae,New Zealand Pigeon
Chrysococcyx xanthorhynchus,Violet Cuckoo
Chrysococcyx maculatus,Asian Emerald Cuckoo
Amaurocichla bocagei,Sao Tome Short-tail
Butorides striata,Striated Heron
Butorides virescens,Green Heron
Aegolius acadicus,Northern Saw-whet Owl
Aegolius harrisii,Buff-fronted Owl
Streptoprocne biscutata,Biscutate Swift
Streptoprocne phelpsi,Tepui Swift
Sphenoeacus afer,Cape Grass-warbler
Schiffornis major,Greater Schiffornis
Alethe diademata,White-tailed Alethe
Toxorhamphus poliopterus,Grey-winged Longbill
Caprimulgus nigrescens,Blackish Nightjar
Phapitreron amethystinus,Amethyst Brown-dove
Calcarius mccownii,McCown's Longspur
Dendrocygna arcuata,Wandering Whistling-duck
Microeca flavigaster,Lemon-bellied Flyrobin
Charadrius hiaticula,Common Ringed Plover
Eupodotis senegalensis,White-bellied Bustard
Microeca fascinans,Jacky-winter
Bolbopsittacus lunulatus,Guaiabero
Charadrius melodus,Piping Plover
Sericulus chrysocephalus,Regent Bowerbird
Neopsephotus bourkii,Bourke's Parrot
Centropus steerii,Black-hooded Coucal
Eupodotis caerulescens,Blue Bustard
Harpactes fasciatus,Malabar Trogon
Catamblyrhynchus diadema,Plushcap
Icteria virens,Yellow-breasted Chat
Dicaeum hypoleucum,Buzzing Flowerpecker
Calidris subminuta,Long-toed Stint
Neodrepanis coruscans,Sunbird Asity
Neodrepanis hypoxantha,Yellow-bellied Asity
Philepitta castanea,Velvet Asity
Philepitta schlegeli,Schlegel's Asity
Casmerodius albus,Great Egret
Streptoprocne semicollaris,White-naped Swift
Limnodromus semipalmatus,Asian Dowitcher
Psophodes nigrogularis,Western Whipbird
Threskiornis aethiopicus,African Sacred Ibis
Hirundapus caudacutus,White-throated Needletail
Psophodes cristatus,Chirruping Wedgebill
Neomorphus squamiger,Scaled Ground-cuckoo
Threskiornis molucca,Australian Sacred Ibis
Collocalia papuensis,Papuan Swiftlet
Melanopareia maximiliani,Olive-crowned Crescentchest
Psophodes occidentalis,Chiming Wedgebill
Prionochilus maculatus,Yellow-breasted Flowerpecker
Mesophoyx intermedia,Intermediate Egret
Jynx torquilla,Eurasian Wryneck
Jynx ruficollis,Rufous-necked Wryneck
Melanopareia torquata,Collared Crescentchest
Psophodes olivaceus,Eastern Whipbird
Tetrax tetrax,Little Bustard
Eupodotis humilis,Little Brown Bustard
Eopsaltria georgiana,White-breasted Robin
Tityra inquisitor,Black-crowned Tityra
Coracornis raveni,Maroon-backed Whistler
Hirundapus cochinchinensis,Silver-backed Needletail
Pteroptochos megapodius,Moustached Turca
Corydon sumatranus,Dusky Broadbill
Psarisomus dalhousiae,Long-tailed Broadbill
Pygiptila stellaris,Spot-winged Antshrike
Thamnistes anabatinus,Russet Antshrike
Achaetops pycnopygius,Rockrunner
Mohoua novaeseelandiae,Pipipi
Charadrius dubius,Little Ringed Plover
Hirundapus giganteus,Brown-backed Needletail
Neomixis viridis,Green Jery
Microeca papuana,Canary Flyrobin
Hirundapus celebensis,Purple Needletail
Bostrychia rara,Spot-breasted Ibis
Hydrochous gigas,Waterfall Swift
Micromonacha lanceolata,Lanceolated Monklet
Amblyornis macgregoriae,Macgregor's Bowerbird
Catoptrophorus semipalmatus,Willet
Bostrychia olivacea,African Olive Ibis
Hypnelus ruficollis,Russet-throated Puffbird
Bostrychia carunculata,Wattled Ibis
Hapaloptila castanea,White-faced Nunbird
Dicaeum chrysorrheum,Yellow-vented Flowerpecker
Platalea minor,Black-faced Spoonbill
Platalea leucorodia,Eurasian Spoonbill
Porphyrio flavirostris,Azure Gallinule
Entomyzon cyanotis,Blue-faced Honeyeater
Bostrychia bocagei,Dwarf Olive Ibis
Eurostopodus mystacalis,White-throated Eared-nightjar
Eurostopodus argus,Spotted Eared-nightjar
Chersophilus duponti,Dupont's Lark
Calyptomena whiteheadi,Whitehead's Broadbill
Bostrychia hagedash,Hadada Ibis
Porphyrio martinica,Yellow-legged Gallinule
Pardalotus rubricatus,Red-browed Pardalote
Calyptomena viridis,Asian Green Broadbill
Eupodotis vigorsii,Karoo Bustard
Cercococcyx mechowi,Dusky Long-tailed Cuckoo
Harpagus bidentatus,Double-toothed Kite
Harpagus diodon,Rufous-thighed Kite
Phalaenoptilus nuttallii,Common Poorwill
Pluvialis fulva,Pacific Golden Plover
Pluvialis apricaria,Eurasian Golden Plover
Podiceps occipitalis,Silvery Grebe
Macgregoria pulchra,Ochre-winged Honeyeater
Tyrannulus elatus,Yellow-crowned Tyrannulet
Podiceps taczanowskii,Junin Grebe
Topaza pella,Crimson Topaz
Topaza pyra,Fiery Topaz
Megaceryle maxima,Giant Kingfisher
Clamator jacobinus,Pied Cuckoo
Clamator levaillantii,Levaillant's Cuckoo
Prionochilus thoracicus,Scarlet-breasted Flowerpecker
Leptodon cayanensis,Grey-headed Kite
Leptodon forbesi,White-collared Kite
Lophotriorchis kienerii,Rufous-bellied Eagle
Lurocalis semitorquatus,Short-tailed Nighthawk
Lurocalis rufiventris,Rufous-bellied Nighthawk
Buphagus africanus,Yellow-billed Oxpecker
Buphagus erythrorhynchus,Red-billed Oxpecker
Incana incana,Socotra Warbler
Calidris temminckii,Temminck's Stint
Charadrius montanus,Mountain Plover
Caprimulgus anthonyi,Scrub Nightjar
Elseyornis melanops,Black-fronted Dotterel
Nyctidromus albicollis,Common Pauraque
Metriopelia aymara,Golden-spotted Ground-dove
Collocalia vulcanorum,Volcano Swiftlet
Tringa flavipes,Lesser Yellowlegs
Tockus camurus,Red-billed Dwarf Hornbill
Salpinctes obsoletus,Rock Wren
Eugralla paradoxa,Ochre-flanked Tapaculo
Threskiornis melanocephalus,Black-headed Ibis
Threskiornis spinicollis,Straw-necked Ibis
Sasia africana,African Piculet
Donacobius atricapilla,Black-capped Donacobius
Caprimulgus madagascariensis,Madagascar Nightjar
Zoothera sibirica,Siberian Thrush
Bucco capensis,Collared Puffbird
Threskiornis bernieri,Madagascar Sacred Ibis
Chloropsis hardwickii,Orange-bellied Leafbird
Pardalotus punctatus,Spotted Pardalote
Tyto alba,Barn Owl
Charadrius australis,Inland Dotterel
Polihierax semitorquatus,Pygmy Falcon
Polihierax insignis,White-rumped Falcon
Myiopsitta monachus,Monk Parakeet
Tyto nigrobrunnea,Taliabu Masked-owl
Cinnyricinclus leucogaster,Violet-backed Starling
Saroglossa aurata,Madagascar Starling
Tyto sororcula,Lesser Masked-owl
Tyto glaucops,Ashy-faced Owl
Puffinus nativitatis,Christmas Island Shearwater
Lophoictinia isura,Square-tailed Kite
Coua gigas,Giant Coua
Coua serriana,Red-breasted Coua
Tyto inexspectata,Sulawesi Golden Owl
Tyto soumagnei,Madagascar Red Owl
Phedina borbonica,Mascarene Martin
Tyto rosenbergii,Sulawesi Owl
Rhinoptilus chalcopterus,Bronze-winged Courser
Pseudochelidon eurystomina,African River-martin
Eurochelidon sirintarae,White-eyed River-martin
Tyto manusi,Manus Masked-owl
Bucco macrodactylus,Chestnut-capped Puffbird
Colluricincla boweri,Bower's Shrike-thrush
Rhinoptilus africanus,Double-banded Courser
Zeledonia coronata,Wrenthrush
Pardalotus striatus,Striated Pardalote
Lopholaimus antarcticus,Topknot Pigeon
Sarcogyps calvus,Red-headed Vulture
Tyto aurantia,Bismarck Masked-owl
Aeronautes montivagus,White-tipped Swift
Phoeniculus purpureus,Green Woodhoopoe
Phoeniculus damarensis,Violet Woodhoopoe
Aeronautes andecolus,Andean Swift
Merops breweri,Black-headed Bee-eater
Microeca hemixantha,Golden-bellied Flyrobin
Terenotriccus erythrurus,Ruddy-tailed Flycatcher
Microeca flavovirescens,Olive Flyrobin
Andropadus gracilirostris,Slender-billed Greenbul
Calyptocichla serina,Golden Greenbul
Neotis denhami,Denham's Bustard
Oreocharis arfaki,Tit Berrypecker
Haematoderus militaris,Crimson Fruitcrow
Ciconia ciconia,White Stork
Ciconia boyciana,Oriental Stork
Elminia longicauda,African Blue-flycatcher
Elminia albicauda,White-tailed Blue-flycatcher
Nystalus maculatus,Spot-backed Puffbird
Lafresnaya lafresnayi,Mountain Velvetbreast
Leptopoecile sophiae,White-browed Tit-warbler
Leptopoecile elegans,Crested Tit-warbler
Lycocorax pyrrhopterus,Paradise-crow
Aeronautes saxatalis,White-throated Swift
Lophostrix cristata,Crested Owl
Triclaria malachitacea,Blue-bellied Parrot
Erithacus rubecula,European Robin
Charadrius collaris,Collared Plover
Ciconia episcopus,Woolly-necked Stork
Ciconia stormi,Storm's Stork
Anorrhinus tickelli,Tickell's Brown Hornbill
Anorrhinus austeni,Austen's Brown Hornbill
Dicaeum melanoxanthum,Yellow-bellied Flowerpecker
Pyrrholaemus brunneus,Redthroat
Chthonicola sagittatus,Speckled Warbler
Eurocephalus rueppelli,White-rumped Shrike
Eurocephalus anguitimens,White-crowned Shrike
Peltops blainvillii,Lowland Peltops
Peltops montanus,Mountain Peltops
Mycteria ibis,Yellow-billed Stork
Chlamydera maculata,Spotted Bowerbird
Bathmocercus winifredae,Mrs Moreau's Warbler
Anthracoceros malayanus,Black Hornbill
Baryphthengus ruficapillus,Rufous-capped Motmot
Pterodroma hypoleuca,Bonin Petrel
Cacomantis sonneratii,Banded Bay Cuckoo
Irania gutturalis,White-throated Robin
Anthracoceros albirostris,Oriental Pied Hornbill
Zoothera naevia,Varied Thrush
Cuculus fugax,Hodgson's Hawk-cuckoo
Ramphocaenus melanurus,Long-billed Gnatwren
Monasa flavirostris,Yellow-billed Nunbird
Spizaetus tyrannus,Black Hawk-eagle
Zavattariornis stresemanni,Ethiopian Bush-crow
Nyctiphrynus mcleodii,Eared Poorwill
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher
Hirundinea ferruginea,Cliff Flycatcher
Columbina cruziana,Croaking Ground-dove
Certhionyx pectoralis,Banded Honeyeater
Monasa morphoeus,White-fronted Nunbird
Trogon elegans,Elegant Trogon
Turtur brehmeri,Blue-headed Wood-dove
Chloropsis cochinchinensis,Blue-winged Leafbird
Chlamydera lauterbachi,Yellow-breasted Bowerbird
Oreortyx pictus,Mountain Quail
Aegolius ridgwayi,Southern Saw-whet Owl
Aepypodius arfakianus,Wattled Brush-turkey
Aepypodius bruijnii,Bruijn's Brush-turkey
Jubula lettii,Maned Owl
Ptilorrhoa leucosticta,Spotted Jewel-babbler
Monasa atra,Black Nunbird
Nystalus chacuru,White-eared Puffbird
Pyrrhocorax pyrrhocorax,Red-billed Chough
Pyrrhocorax graculus,Yellow-billed Chough
Pernis ptilorhyncus,Oriental Honey-buzzard
Centropus ateralbus,Pied Coucal
Necrosyrtes monachus,Hooded Vulture
Monasa nigrifrons,Black-fronted Nunbird
Pernis apivorus,European Honey-buzzard
Arachnothera magna,Streaked Spiderhunter
Andropadus montanus,Cameroon Montane Greenbul
Coracopsis vasa,Vasa Parrot
Coracopsis nigra,Black Parrot
Eurystomus azureus,Purple Dollarbird
Eurylaimus steerii,Mindanao Broadbill
Goura cristata,Western Crowned-pigeon
Chloropsis aurifrons,Golden-fronted Leafbird
Ptilorrhoa caerulescens,Blue Jewel-babbler
Caliechthrus leucolophus,White-crowned Koel
Arachnothera affinis,Grey-breasted Spiderhunter
Kakamega poliothorax,Grey-chested Babbler
Chloroceryle aenea,American Pygmy Kingfisher
Chloropsis kinabaluensis,Bornean Leafbird
Andropadus virens,Little Greenbul
Andropadus latirostris,Yellow-whiskered Greenbul
Rhaphidura leucopygialis,Silver-rumped Spinetail
Rhaphidura sabini,Sabine's Spinetail
Perisoreus canadensis,Grey Jay
Chloropsis flavipennis,Philippine Leafbird
Goura victoria,Victoria Crowned-pigeon
Leucopternis princeps,Barred Hawk
Chloropsis sonnerati,Greater Green Leafbird
Tringa erythropus,Spotted Redshank
Chloropsis cyanopogon,Lesser Green Leafbird
Urochroa bougueri,White-tailed Hillstar
Chloropsis media,Sumatran Leafbird
Biziura lobata,Musk Duck
Chloropsis venusta,Blue-masked Leafbird
Buceros bicornis,Great Hornbill
Calidris canutus,Red Knot
Buceros rhinoceros,Rhinoceros Hornbill
Amblyornis flavifrons,Golden-fronted Bowerbird
Bernieria zosterops,Spectacled Tetraka
Petronia dentata,Bush Petronia
Caprimulgus macrurus,Large-tailed Nightjar
Neotis ludwigii,Ludwig's Bustard
Harpactes diardii,Diard's Trogon
Morus bassanus,Northern Gannet
Chloropsis palawanensis,Yellow-throated Leafbird
Nyctiprogne vielliardi,Plain-tailed Nighthawk
Nyctiprogne leucopyga,Band-tailed Nighthawk
Botaurus lentiginosus,American Bittern
Legatus leucophaius,Piratic Flycatcher
Botaurus pinnatus,Pinnated Bittern
Colluricincla woodwardi,Sandstone Shrike-thrush
Megastictus margaritatus,Pearly Antshrike
Snowornis subalaris,Grey-tailed Piha
Snowornis cryptolophus,Olivaceous Piha
Amytornis housei,Black Grasswren
Chloropsis jerdoni,Jerdon's Leafbird
Pitohui kirhocephalus,Variable Pitohui
Pitohui dichrous,Hooded Pitohui
Neafrapus cassini,Cassin's Spinetail
Neafrapus boehmi,Bat-like Spinetail
Melidora macrorrhina,Hook-billed Kingfisher
Charadrius javanicus,Javan Plover
Micrastur gilvicollis,Lined Forest-falcon
Rhodophoneus cruentus,Rosy-patched Bush-shrike
Eopsaltria pulverulenta,Mangrove Robin
Micrastur semitorquatus,Collared Forest-falcon
Bleda syndactylus,Common Bristlebill
Pernis celebensis,Barred Honey-buzzard
Charadrius sanctaehelenae,St Helena Plover
Harpactes wardi,Ward's Trogon
Phapitreron cinereiceps,Tawitawi Brown-dove
Deltarhynchus flammulatus,Flammulated Flycatcher
Colluricincla harmonica,Grey Shrike-thrush
Tyto tenebricosa,Sooty Owl
Melopsittacus undulatus,Budgerigar
Eurystomus glaucurus,Broad-billed Roller
Heinrichia calligyna,Great Shortwing
Charadrius tricollaris,Three-banded Plover
Eurystomus orientalis,Asian Dollarbird
Tyto novaehollandiae,Australian Masked-owl
Rhizothera longirostris,Long-billed Partridge
Pucrasia macrolopha,Koklass Pheasant
Phapitreron brunneiceps,Mindanao Brown-dove
Ramsayornis modestus,Brown-backed Honeyeater
Ramsayornis fasciatus,Bar-breasted Honeyeater
Sericulus aureus,Masked Bowerbird
Sericulus bakeri,Fire-maned Bowerbird
Rheinardia ocellata,Crested Argus
Argusianus argus,Great Argus
Archboldia papuensis,Archbold's Bowerbird
Conopophaga ardesiaca,Slaty Gnateater
Coccyzus lansbergi,Grey-capped Cuckoo
Scotocerca inquieta,Streaked Scrub-warbler
Charadrius obscurus,New Zealand Dotterel
Melanocharis crassirostris,Spotted Berrypecker
Amblyornis inornata,Vogelkop Bowerbird
Coracina cinerea,Ashy Cuckooshrike
